filename,processed_file,PSNR
narrow_brown-118-_jpg.rf.0fbe58d69693fa2fa9dc585c1c6f81f7.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_HE_L\narrow_brown_spot_HE_L\narrow_brown-118-_jpg.rf.0fbe58d69693fa2fa9dc585c1c6f81f7 HE_L.jpg,14.97
narrow_brown-119-_jpg.rf.ddd518ef6ad1ae80c42197c0d2ba0a3e.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_HE_L\narrow_brown_spot_HE_L\narrow_brown-119-_jpg.rf.ddd518ef6ad1ae80c42197c0d2ba0a3e HE_L.jpg,13.59
narrow_brown-12-_jpg.rf.c256de5ad4ed23f2c55a931e66b926c2.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_HE_L\narrow_brown_spot_HE_L\narrow_brown-12-_jpg.rf.c256de5ad4ed23f2c55a931e66b926c2 HE_L.jpg,12.10
narrow_brown-120-_jpg.rf.488f3904db06e24da7829b11f75d0b99.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_HE_L\narrow_brown_spot_HE_L\narrow_brown-120-_jpg.rf.488f3904db06e24da7829b11f75d0b99 HE_L.jpg,15.21
narrow_brown-121-_jpg.rf.5267028d291ddddd260b1d23f09efc63.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_HE_L\narrow_brown_spot_HE_L\narrow_brown-121-_jpg.rf.5267028d291ddddd260b1d23f09efc63 HE_L.jpg,14.04
narrow_brown-123-_jpg.rf.7b6457e15d112e5fd3daafb02f2e20dc.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_HE_L\narrow_brown_spot_HE_L\narrow_brown-123-_jpg.rf.7b6457e15d112e5fd3daafb02f2e20dc HE_L.jpg,19.08
narrow_brown-125-_jpg.rf.216e67e735349d571d3713208cf1873e.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_HE_L\narrow_brown_spot_HE_L\narrow_brown-125-_jpg.rf.216e67e735349d571d3713208cf1873e HE_L.jpg,17.18
narrow_brown-126-_jpg.rf.c734eaf027c753b80ba78e679dfdbdc1.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_HE_L\narrow_brown_spot_HE_L\narrow_brown-126-_jpg.rf.c734eaf027c753b80ba78e679dfdbdc1 HE_L.jpg,17.59
narrow_brown-127-_jpg.rf.77601a1c5039e2bc20cbdc452f49147b.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_HE_L\narrow_brown_spot_HE_L\narrow_brown-127-_jpg.rf.77601a1c5039e2bc20cbdc452f49147b HE_L.jpg,15.47
narrow_brown-128-_jpg.rf.66f13709c2b85d8caeb4dcc7e1dbfa4b.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_HE_L\narrow_brown_spot_HE_L\narrow_brown-128-_jpg.rf.66f13709c2b85d8caeb4dcc7e1dbfa4b HE_L.jpg,17.03
narrow_brown-129-_jpg.rf.3dbc68d6a17a72dc06c275baeb748975.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_HE_L\narrow_brown_spot_HE_L\narrow_brown-129-_jpg.rf.3dbc68d6a17a72dc06c275baeb748975 HE_L.jpg,16.71
narrow_brown-13-_jpg.rf.47f1f2012e7880290cbe8727b28ee389.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_HE_L\narrow_brown_spot_HE_L\narrow_brown-13-_jpg.rf.47f1f2012e7880290cbe8727b28ee389 HE_L.jpg,15.33
narrow_brown-131-_jpg.rf.be427d678cb1e6d0676ff83036fc6d61.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_HE_L\narrow_brown_spot_HE_L\narrow_brown-131-_jpg.rf.be427d678cb1e6d0676ff83036fc6d61 HE_L.jpg,17.66
narrow_brown-133-_jpg.rf.ebd67c279cf804bb0403d71fc8c93fc0.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_HE_L\narrow_brown_spot_HE_L\narrow_brown-133-_jpg.rf.ebd67c279cf804bb0403d71fc8c93fc0 HE_L.jpg,17.48
narrow_brown-134-_jpg.rf.fca22137ed6464724c2580f82dd21445.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_HE_L\narrow_brown_spot_HE_L\narrow_brown-134-_jpg.rf.fca22137ed6464724c2580f82dd21445 HE_L.jpg,15.95
