filename,processed_file,SSIM
brown_spot-118-_jpg.rf.a2a909582acadfdb11196dbef7aaaca7.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_CS\brown_spot_CS\brown_spot-118-_jpg.rf.a2a909582acadfdb11196dbef7aaaca7 CS.jpg,0.9703
brown_spot-119-_jpg.rf.4caf0720f7dc476b15dfceaaa827be4c.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_CS\brown_spot_CS\brown_spot-119-_jpg.rf.4caf0720f7dc476b15dfceaaa827be4c CS.jpg,0.9809
brown_spot-12-_jpg.rf.8ba8b8fc9d0df39015b83a1b6dcc1038.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_CS\brown_spot_CS\brown_spot-12-_jpg.rf.8ba8b8fc9d0df39015b83a1b6dcc1038 CS.jpg,0.9584
brown_spot-120-_jpg.rf.d7894baaa3e97d5d74dedbdafbaef824.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_CS\brown_spot_CS\brown_spot-120-_jpg.rf.d7894baaa3e97d5d74dedbdafbaef824 CS.jpg,0.9743
brown_spot-121-_jpg.rf.ea230f55e8463c2e563170e2aeafea6f.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_CS\brown_spot_CS\brown_spot-121-_jpg.rf.ea230f55e8463c2e563170e2aeafea6f CS.jpg,0.9776
brown_spot-122-_jpg.rf.f8c35edfecc1200ed5ff28bcc141f7b2.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_CS\brown_spot_CS\brown_spot-122-_jpg.rf.f8c35edfecc1200ed5ff28bcc141f7b2 CS.jpg,0.9726
brown_spot-123-_jpg.rf.ec55f639f80062cc5dc0da6306febeff.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_CS\brown_spot_CS\brown_spot-123-_jpg.rf.ec55f639f80062cc5dc0da6306febeff CS.jpg,0.9625
brown_spot-124-_jpg.rf.b793860165a01fe92096e121f627de57.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_CS\brown_spot_CS\brown_spot-124-_jpg.rf.b793860165a01fe92096e121f627de57 CS.jpg,0.9809
brown_spot-125-_jpg.rf.566c32bbe2c67485da0fbde225d09e0d.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_CS\brown_spot_CS\brown_spot-125-_jpg.rf.566c32bbe2c67485da0fbde225d09e0d CS.jpg,0.9726
brown_spot-126-_jpg.rf.e0162cd5cabba3ed9ae8ebea5104900d.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_CS\brown_spot_CS\brown_spot-126-_jpg.rf.e0162cd5cabba3ed9ae8ebea5104900d CS.jpg,0.9775
brown_spot-128-_jpg.rf.d0a2a4a4fbbbe3a575992d410a2e535d.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_CS\brown_spot_CS\brown_spot-128-_jpg.rf.d0a2a4a4fbbbe3a575992d410a2e535d CS.jpg,0.9683
brown_spot-129-_jpg.rf.52e164e0f23b75c585bff17472f1b207.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_CS\brown_spot_CS\brown_spot-129-_jpg.rf.52e164e0f23b75c585bff17472f1b207 CS.jpg,0.9509
brown_spot-13-_jpg.rf.12ad72a1f98ae4c99c2dbe9fff16adce.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_CS\brown_spot_CS\brown_spot-13-_jpg.rf.12ad72a1f98ae4c99c2dbe9fff16adce CS.jpg,0.9631
brown_spot-130-_jpg.rf.d3a11d5564ff0546e0dbce5dc65697a9.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_CS\brown_spot_CS\brown_spot-130-_jpg.rf.d3a11d5564ff0546e0dbce5dc65697a9 CS.jpg,0.9449
brown_spot-131-_jpg.rf.342abd29f3a65ccabfe6a5f3c804eae9.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_CS\brown_spot_CS\brown_spot-131-_jpg.rf.342abd29f3a65ccabfe6a5f3c804eae9 CS.jpg,0.9325
brown_spot-133-_jpg.rf.75bed8d773100ca40da668c6e01a6ddb.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_CS\brown_spot_CS\brown_spot-133-_jpg.rf.75bed8d773100ca40da668c6e01a6ddb CS.jpg,0.9399
brown_spot-134-_jpg.rf.00807abe1d11a9c797a5faff154ccd5f.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_CS\brown_spot_CS\brown_spot-134-_jpg.rf.00807abe1d11a9c797a5faff154ccd5f CS.jpg,0.9606
brown_spot-135-_jpg.rf.288d9cb82d6781bf6ba08bc49eb43c38.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_CS\brown_spot_CS\brown_spot-135-_jpg.rf.288d9cb82d6781bf6ba08bc49eb43c38 CS.jpg,0.9008
brown_spot-136-_jpg.rf.65db77b20193fc954ab604e40f326897.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_CS\brown_spot_CS\brown_spot-136-_jpg.rf.65db77b20193fc954ab604e40f326897 CS.jpg,0.9387
brown_spot-137-_jpg.rf.6c38218358ab680bbeee7a50a1d6a71b.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_CS\brown_spot_CS\brown_spot-137-_jpg.rf.6c38218358ab680bbeee7a50a1d6a71b CS.jpg,0.9726
brown_spot-139-_jpg.rf.f9d57e3f6a0d35e49818e2811994b879.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_CS\brown_spot_CS\brown_spot-139-_jpg.rf.f9d57e3f6a0d35e49818e2811994b879 CS.jpg,0.9782
brown_spot-14-_jpg.rf.f05bd89ec1b87475d46fbfcc2be54271.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_CS\brown_spot_CS\brown_spot-14-_jpg.rf.f05bd89ec1b87475d46fbfcc2be54271 CS.jpg,0.9525
brown_spot-141-_jpg.rf.1666e2cdf26248c17b715a2fa1e8dad2.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_CS\brown_spot_CS\brown_spot-141-_jpg.rf.1666e2cdf26248c17b715a2fa1e8dad2 CS.jpg,0.9814
brown_spot-142-_jpg.rf.2177bf76d007075290b07d9555374647.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_CS\brown_spot_CS\brown_spot-142-_jpg.rf.2177bf76d007075290b07d9555374647 CS.jpg,0.9782
brown_spot-144-_jpg.rf.a60d5b8062b9cfefa98289d1ecf4a282.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_CS\brown_spot_CS\brown_spot-144-_jpg.rf.a60d5b8062b9cfefa98289d1ecf4a282 CS.jpg,0.8921
brown_spot-145-_jpg.rf.5014411cd23f97507a2416451cdff4e4.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_CS\brown_spot_CS\brown_spot-145-_jpg.rf.5014411cd23f97507a2416451cdff4e4 CS.jpg,0.9333
brown_spot-146-_jpg.rf.666f3a6a33ad7c895c4590ecfa4ff29d.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_CS\brown_spot_CS\brown_spot-146-_jpg.rf.666f3a6a33ad7c895c4590ecfa4ff29d CS.jpg,0.9554
brown_spot-147-_jpg.rf.8d843dedd4c046de0111c0e204a640ef.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_CS\brown_spot_CS\brown_spot-147-_jpg.rf.8d843dedd4c046de0111c0e204a640ef CS.jpg,0.9556
brown_spot-148-_jpg.rf.cd8896ebfd09de38b5483298471e27ba.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_CS\brown_spot_CS\brown_spot-148-_jpg.rf.cd8896ebfd09de38b5483298471e27ba CS.jpg,0.9662
brown_spot-149-_jpg.rf.812f492774b419ff9c7a05a982dc052e.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_CS\brown_spot_CS\brown_spot-149-_jpg.rf.812f492774b419ff9c7a05a982dc052e CS.jpg,0.8667
brown_spot-15-_jpg.rf.7af037551c35c53283bcd3ace8304170.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_CS\brown_spot_CS\brown_spot-15-_jpg.rf.7af037551c35c53283bcd3ace8304170 CS.jpg,0.9521
brown_spot-150-_jpg.rf.bfbe7734f5c47baf392934f955413bf6.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_CS\brown_spot_CS\brown_spot-150-_jpg.rf.bfbe7734f5c47baf392934f955413bf6 CS.jpg,0.9591
brown_spot-151-_JPG.rf.46e3ad736d490062de9c8ad25e147937.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_CS\brown_spot_CS\brown_spot-151-_JPG.rf.46e3ad736d490062de9c8ad25e147937 CS.jpg,0.9120
brown_spot-152-_jpg.rf.671c67d90716d6d85c58cc50b199e862.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_CS\brown_spot_CS\brown_spot-152-_jpg.rf.671c67d90716d6d85c58cc50b199e862 CS.jpg,0.9573
brown_spot-153-_jpg.rf.19bb13b08ae4e782296b48e70d7e28b2.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_CS\brown_spot_CS\brown_spot-153-_jpg.rf.19bb13b08ae4e782296b48e70d7e28b2 CS.jpg,0.9659
brown_spot-154-_jpg.rf.133b029ee8471001edea7a63ff75cfbc.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_CS\brown_spot_CS\brown_spot-154-_jpg.rf.133b029ee8471001edea7a63ff75cfbc CS.jpg,0.9705
brown_spot-155-_jpg.rf.8adcb3d0021ea669d0fdb9cbf7c25a57.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_CS\brown_spot_CS\brown_spot-155-_jpg.rf.8adcb3d0021ea669d0fdb9cbf7c25a57 CS.jpg,0.9732
brown_spot-156-_jpg.rf.d7773b8e0e25e3564ddddf2bed53dd19.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_CS\brown_spot_CS\brown_spot-156-_jpg.rf.d7773b8e0e25e3564ddddf2bed53dd19 CS.jpg,0.9640
brown_spot-157-_jpg.rf.ace774db1cf62dff18662c2ee5c6d3e9.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_CS\brown_spot_CS\brown_spot-157-_jpg.rf.ace774db1cf62dff18662c2ee5c6d3e9 CS.jpg,0.8053
brown_spot-158-_jpg.rf.8b7c289adf6b79eebeb132d90b0364ef.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_CS\brown_spot_CS\brown_spot-158-_jpg.rf.8b7c289adf6b79eebeb132d90b0364ef CS.jpg,0.9408
brown_spot-159-_jpg.rf.dbefd8cbf4b8dee95af6cbca51d7671b.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_CS\brown_spot_CS\brown_spot-159-_jpg.rf.dbefd8cbf4b8dee95af6cbca51d7671b CS.jpg,0.9096
brown_spot-16-_jpg.rf.efb731003b70c4937b7cfed7a11f7cb5.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_CS\brown_spot_CS\brown_spot-16-_jpg.rf.efb731003b70c4937b7cfed7a11f7cb5 CS.jpg,0.9365
brown_spot-160-_jpg.rf.1fabb40718730d6e5c4681637c890586.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_CS\brown_spot_CS\brown_spot-160-_jpg.rf.1fabb40718730d6e5c4681637c890586 CS.jpg,0.9476
brown_spot-161-_jpg.rf.b4f05b37802a96a1d98604248067a4c0.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_CS\brown_spot_CS\brown_spot-161-_jpg.rf.b4f05b37802a96a1d98604248067a4c0 CS.jpg,0.9643
brown_spot-162-_jpg.rf.585bc8b11c65b2f3bcf31207fb3fd54d.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_CS\brown_spot_CS\brown_spot-162-_jpg.rf.585bc8b11c65b2f3bcf31207fb3fd54d CS.jpg,0.9647
brown_spot-163-_jpg.rf.35441fb057dd4c9002be2071e9e8a98d.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_CS\brown_spot_CS\brown_spot-163-_jpg.rf.35441fb057dd4c9002be2071e9e8a98d CS.jpg,0.9471
brown_spot-164-_jpg.rf.72560ac6df0fe309bfe3dbb3f503f622.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_CS\brown_spot_CS\brown_spot-164-_jpg.rf.72560ac6df0fe309bfe3dbb3f503f622 CS.jpg,0.9501
brown_spot-165-_jpg.rf.f824ceded79060ff9200980366202e6b.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_CS\brown_spot_CS\brown_spot-165-_jpg.rf.f824ceded79060ff9200980366202e6b CS.jpg,0.8729
brown_spot-166-_jpg.rf.109211e4310959d48d8143353ba4d007.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_CS\brown_spot_CS\brown_spot-166-_jpg.rf.109211e4310959d48d8143353ba4d007 CS.jpg,0.7519
brown_spot-167-_JPG.rf.7a254ad412876c6e6523b32f8f463278.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_CS\brown_spot_CS\brown_spot-167-_JPG.rf.7a254ad412876c6e6523b32f8f463278 CS.jpg,0.9466
brown_spot-168-_JPG.rf.96bd524c7ea69269f71ccad5392c215d.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_CS\brown_spot_CS\brown_spot-168-_JPG.rf.96bd524c7ea69269f71ccad5392c215d CS.jpg,0.9498
