filename,processed_file,NRMSE
leaf_scald-120-_jpg.rf.9694ecd0441a50a747ed67193ee70eed.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_HE_V\leaf_scald_HE_V\leaf_scald-120-_jpg.rf.9694ecd0441a50a747ed67193ee70eed HE_V.jpg,0.15842
leaf_scald-121-_jpg.rf.462edac9351a9bd3428e37dd8aa1a7a8.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_HE_V\leaf_scald_HE_V\leaf_scald-121-_jpg.rf.462edac9351a9bd3428e37dd8aa1a7a8 HE_V.jpg,0.17382
leaf_scald-122-_jpg.rf.ae9e87477e7d864db9b0fac98103fd2a.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_HE_V\leaf_scald_HE_V\leaf_scald-122-_jpg.rf.ae9e87477e7d864db9b0fac98103fd2a HE_V.jpg,0.18521
leaf_scald-123-_jpg.rf.67fe2ebc9d956f0a0f90b2ff732bf4f0.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_HE_V\leaf_scald_HE_V\leaf_scald-123-_jpg.rf.67fe2ebc9d956f0a0f90b2ff732bf4f0 HE_V.jpg,0.19418
leaf_scald-124-_jpg.rf.5a39176f1f69cc5f7f0418848a41a466.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_HE_V\leaf_scald_HE_V\leaf_scald-124-_jpg.rf.5a39176f1f69cc5f7f0418848a41a466 HE_V.jpg,0.24875
leaf_scald-125-_jpg.rf.dd079e6b4edc258271c3b61325a7b8aa.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_HE_V\leaf_scald_HE_V\leaf_scald-125-_jpg.rf.dd079e6b4edc258271c3b61325a7b8aa HE_V.jpg,0.15997
leaf_scald-126-_jpg.rf.32ae27d3854766651955456ea1369c71.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_HE_V\leaf_scald_HE_V\leaf_scald-126-_jpg.rf.32ae27d3854766651955456ea1369c71 HE_V.jpg,0.19268
leaf_scald-127-_jpg.rf.2bc571193483937158a8e34f4b1c7c1d.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_HE_V\leaf_scald_HE_V\leaf_scald-127-_jpg.rf.2bc571193483937158a8e34f4b1c7c1d HE_V.jpg,0.29901
leaf_scald-129-_jpg.rf.5cc19ea38ae96dfb6cb4837a62e6c0b1.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_HE_V\leaf_scald_HE_V\leaf_scald-129-_jpg.rf.5cc19ea38ae96dfb6cb4837a62e6c0b1 HE_V.jpg,0.12374
leaf_scald-130-_jpg.rf.b29eb75da618f09e6b33f612652a6ebc.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_HE_V\leaf_scald_HE_V\leaf_scald-130-_jpg.rf.b29eb75da618f09e6b33f612652a6ebc HE_V.jpg,0.16067
leaf_scald-131-_jpg.rf.f967a733457962021689bfe6193430a5.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_HE_V\leaf_scald_HE_V\leaf_scald-131-_jpg.rf.f967a733457962021689bfe6193430a5 HE_V.jpg,0.16517
leaf_scald-132-_jpg.rf.42f11eb66b6d3523f3037af7d2d1f554.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_HE_V\leaf_scald_HE_V\leaf_scald-132-_jpg.rf.42f11eb66b6d3523f3037af7d2d1f554 HE_V.jpg,0.11987
leaf_scald-133-_jpg.rf.077d776100e51a274be1220fcd47f0d2.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_HE_V\leaf_scald_HE_V\leaf_scald-133-_jpg.rf.077d776100e51a274be1220fcd47f0d2 HE_V.jpg,0.16370
